﻿CODGEO;Libellé commune ou ARM;Région;Département;Population en 2012;Population en 2007;Superficie;Naissances entre 2007 et 2012;Décès entre 2007 et 2012;Ménages en 2012;Nombre de naissances domiciliées en 2013;Nombre de décès domiciliés en 2013;Logements en 2012;Résidences principales en 2012;Rés secondaires et logts occasionnels en 2012;Logements vacants en 2012;Rés princ occupées Propriétaires en 2012;Nombre de ménages fiscaux en 2012;Part des ménages fiscaux imposés  en 2012;Médiane du revenu disponible par UC en 2012;Taux de pauvreté en 2012;Emplois au LT en 2012;Emplois salariés au LT en 2012;Emplois au LT en 2007;Pop 15-64 ans en 2012;Chômeurs 15-64 ans en 2012;Actifs 15-64 ans en 2012;Total des ets actifs au 31 décembre 2012;Ets actifs agriculture au 31/12/2012;Ets actifs industrie au 31/12/2012;Ets actifs construction au 31/12/2012;Ets actifs commerce services au 31/12/2012;Ets actifs commerce réparation auto au 31/12/2012;Ets actifs adm publique au 31/12/2012;Ets actifs de 1 à 9 salariés au 31 décembre 2012;Ets actifs 10 salariés ou plus au 31 décembre 2012;coordonnees;Métropole
2A141;Letia;94;2A;110.0;109.0;36.44;1.0;9.0;66.1946902655;0.0;3.0;304.141998398;66.1946902655;211.953064387;25.9942437456;56.4601769912;55.0;;19661.0;;18.5316230486;6.7911552640699995;21.8695668215;69.1150442478;8.7610619469;49.6460176991;23.0;10.0;0.0;6.0;5.0;0.0;2.0;2.0;0.0;42.214927495, 8.87701144967;
2B052;Campana;94;2B;20.0;23.0;2.37;0.0;0.0;14.4444444444;0.0;0.0;54.5277777778;14.4444444444;38.1746031746;1.90873015873;13.3333333333;;;;;1.13635971556;0.0;2.05641984655;3.33333333333;0.0;3.33333333333;9.0;1.0;0.0;2.0;5.0;0.0;1.0;1.0;0.0;42.3886009558, 9.33996817013;
2B157;Mazzola;94;2B;26.0;25.0;6.59;0.0;1.0;16.0;0.0;0.0;46.0;16.0;28.0;2.0;15.0;;;;;1.0;1.0;2.0;8.0;0.0;3.0;7.0;2.0;2.0;0.0;2.0;0.0;1.0;2.0;0.0;42.3045556873, 9.32842829627;
2B187;Olmeta-di-Capocorso;94;2B;144.0;129.0;21.57;2.0;6.0;71.027027027;0.0;4.0;157.71001071;71.027027027;84.6433840669;2.03959961607;57.4054054054;62.0;;17050.5;;11.6810836852;1.94594594595;9.579554911;65.1891891892;3.89189189189;45.7297297297;13.0;2.0;0.0;2.0;8.0;0.0;1.0;1.0;0.0;42.766973441, 9.37798697409;
2B016;Antisanti;94;2B;429.0;378.0;47.95;6.0;21.0;199.0;3.0;3.0;293.0;199.0;77.0;17.0;150.0;167.0;;16160.0;;86.9905185563;51.9916965676;96.7251439549;256.0;14.0;169.0;77.0;42.0;7.0;5.0;21.0;5.0;2.0;16.0;9.0;42.1562385991, 9.38406808296;
2B188;Olmeta-di-Tuda;94;2B;398.0;328.0;17.4;19.0;10.0;178.577565632;7.0;4.0;297.228359283;178.577565632;107.301587302;11.3492063492;116.835322196;151.0;;17902.8;;54.1898592759;32.1998408491;36.331557291;257.417661098;28.4964200477;192.825775656;53.0;15.0;4.0;10.0;22.0;3.0;2.0;7.0;0.0;42.6122409049, 9.36435910828;
2A228;Pietrosella;94;2A;1258.0;1223.0;35.23;39.0;95.0;557.099920064;12.0;14.0;1377.88423379;557.099920064;813.647058824;7.13725490196;402.238209432;502.0;;24240.4347826;;212.173047672;137.665813465;148.045905886;738.107114309;44.2462030376;482.685851319;162.0;4.0;8.0;22.0;114.0;25.0;14.0;28.0;1.0;41.8283411519, 8.8134589974;
2B120;Furiani;94;2B;5591.0;4677.0;18.49;289.0;182.0;2068.0;51.0;48.0;2176.0;2068.0;102.0;6.0;1406.0;1850.0;67.8938819708;20292.4166667;14.89122;3764.21812583;3356.98446501;3523.19942884;3838.0;189.0;2680.0;815.0;10.0;45.0;154.0;535.0;229.0;71.0;233.0;65.0;42.6523411195, 9.4172647007;
2B005;Alando;94;2B;29.0;26.0;3.05;2.0;1.0;9.35483870968;0.0;0.0;39.7357910906;9.35483870968;30.380952381;0.0;7.48387096774;;;;;3.8064516129;0.935483870968;2.7712252922;14.0322580645;0.0;11.2258064516;4.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;42.3072494054, 9.28630204632;
2B313;San-Nicolao;94;2B;1792.0;1518.0;7.73;87.0;80.0;826.248523198;28.0;32.0;1892.56832314;826.248523198;1038.44803451;27.8717654285;385.248622349;716.0;;16017.6923077;;781.23670976;603.114967219;652.260987079;1064.16692305;161.266865169;715.750856323;413.0;37.0;14.0;51.0;269.0;79.0;42.0;88.0;19.0;42.3681811247, 9.50945182928;
2B079;Castello-di-Rostino;94;2B;414.0;351.0;12.4;14.0;11.0;167.404358354;3.0;5.0;257.096965357;167.404358354;61.4747081712;28.2178988327;111.268765133;156.0;;17433.0;;73.9355980496;49.9298592412;52.0254060879;250.605326877;16.0387409201;172.416464891;54.0;11.0;4.0;3.0;30.0;16.0;6.0;15.0;0.0;42.471301177, 9.29768308268;
2B136;Lama;94;2B;164.0;171.0;19.92;2.0;12.0;88.6211180124;0.0;1.0;208.406064249;88.6211180124;119.784946237;0.0;68.248447205;56.0;;15543.1666667;;34.6164680145;13.3284157533;32.3290658446;91.6770186335;7.13043478261;63.1552795031;36.0;8.0;0.0;5.0;21.0;1.0;2.0;7.0;0.0;42.5804431828, 9.16621069911;
2A357;Zérubia;94;2A;31.0;28.0;13.18;0.0;1.0;13.7777777778;2.0;0.0;120.504811899;13.7777777778;99.6118985127;7.11513560805;10.3333333333;;;;;1.72222222222;1.72222222222;7.74369459907;18.9444444444;5.16666666667;14.6388888889;5.0;3.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;41.7511203775, 9.05738566611;
2A022;Arro;94;2A;84.0;73.0;8.84;3.0;3.0;37.2272727273;0.0;2.0;77.911957412;37.2272727273;38.7000659196;1.98461876511;28.6363636364;;;;;8.59090909091;0.0;6.76666666667;51.5454545455;3.81818181818;38.1818181818;13.0;7.0;0.0;1.0;4.0;0.0;1.0;1.0;0.0;42.0965260296, 8.8040243417;
2B077;Castellare-di-Casinca;94;2B;605.0;555.0;8.88;37.0;24.0;264.750415973;4.0;7.0;640.692402207;264.750415973;375.941986234;0.0;167.104825291;211.0;;17223.0;;75.0477371621;41.9818190105;71.6501928498;359.376039933;42.2795341098;264.750415973;89.0;13.0;7.0;10.0;48.0;14.0;11.0;18.0;2.0;42.4705671665, 9.50131455475;
2B156;Mausoléo;94;2B;17.0;13.0;19.43;1.0;0.0;10.625;0.0;0.0;37.3678571429;10.625;24.6857142857;2.05714285714;7.4375;;;;;5.3125;0.0;4.36727241746;12.75;0.0;7.4375;6.0;3.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;42.4947585945, 8.96434794881;
2A269;Sari-Solenzara;94;2A;1385.0;1191.0;73.85;56.0;46.0;617.353729183;21.0;9.0;1348.13830365;617.353729183;706.593085106;24.1914893617;325.715267585;496.0;;16694.8;;547.681008389;429.4371072;472.457903992;892.921373734;91.2002749237;633.367184434;305.0;9.0;7.0;42.0;231.0;48.0;16.0;56.0;8.0;41.8133599634, 9.35220683826;
2B218;Piedicorte-di-Gaggio;94;2B;103.0;119.0;27.25;2.0;8.0;55.0;1.0;1.0;176.0;55.0;113.0;8.0;37.0;50.0;;15792.0;;20.4068026498;16.4068026498;26.0699358472;51.0;3.0;28.0;18.0;3.0;1.0;5.0;6.0;1.0;3.0;1.0;0.0;42.2145192461, 9.32336450937;
2A191;Olmiccia;94;2A;112.0;100.0;11.22;4.0;4.0;48.2935779817;1.0;3.0;96.3155560036;48.2935779817;39.6703296703;8.35164835165;21.577981651400002;;;;;25.4277584311;20.2901437522;21.4831150549;77.0642201835;8.22018348624;57.5412844037;15.0;2.0;0.0;2.0;9.0;1.0;2.0;5.0;1.0;41.6701338778, 9.03297164192;
2B365;San-Gavino-di-Fiumorbo;94;2B;157.0;185.0;22.17;0.0;9.0;80.6216216216;0.0;2.0;189.795750975;80.6216216216;106.350660491;2.82346886258;70.0135135135;61.0;;15946.0;;13.6117980817;7.24693321683;13.144669671700001;89.1081081081;5.30405405405;54.1013513514;20.0;10.0;0.0;3.0;5.0;0.0;2.0;4.0;0.0;41.9714498244, 9.24775602009;
2A276;Serra-di-Ferro;94;2A;497.0;427.0;32.77;17.0;15.0;245.937999807;6.0;3.0;967.89086176;245.937999807;716.868686869;5.08417508418;142.914789998;184.0;;18983.5;;150.949249237;100.003288498;126.488841933;312.231592932;29.5639764406;210.149600076;208.0;17.0;9.0;12.0;159.0;14.0;11.0;22.0;3.0;41.7410474334, 8.81250812436;
