﻿CODGEO;Libellé commune ou ARM;Région;Département;Population en 2012;Population en 2007;Superficie;Naissances entre 2007 et 2012;Décès entre 2007 et 2012;Ménages en 2012;Nombre de naissances domiciliées en 2013;Nombre de décès domiciliés en 2013;Logements en 2012;Résidences principales en 2012;Rés secondaires et logts occasionnels en 2012;Logements vacants en 2012;Rés princ occupées Propriétaires en 2012;Nombre de ménages fiscaux en 2012;Part des ménages fiscaux imposés  en 2012;Médiane du revenu disponible par UC en 2012;Taux de pauvreté en 2012;Emplois au LT en 2012;Emplois salariés au LT en 2012;Emplois au LT en 2007;Pop 15-64 ans en 2012;Chômeurs 15-64 ans en 2012;Actifs 15-64 ans en 2012;Total des ets actifs au 31 décembre 2012;Ets actifs agriculture au 31/12/2012;Ets actifs industrie au 31/12/2012;Ets actifs construction au 31/12/2012;Ets actifs commerce services au 31/12/2012;Ets actifs commerce réparation auto au 31/12/2012;Ets actifs adm publique au 31/12/2012;Ets actifs de 1 à 9 salariés au 31 décembre 2012;Ets actifs 10 salariés ou plus au 31 décembre 2012;coordonnees;Métropole
2B134;L'Île-Rousse;94;2B;3740.0;2765.0;2.5;188.0;221.0;1549.0;37.0;34.0;3087.01040799;1549.0;1426.59367194;111.416736053;622.005629432;1392.0;53.7130497477;15873.8095238;27.03691;2255.10213332;1706.60527084;1851.06340343;2360.79434841;229.177519654;1554.82309354;909.0;14.0;22.0;121.0;626.0;196.0;126.0;236.0;32.0;42.631545096, 8.93355970672;
2A282;Soccia;94;2A;154.0;142.0;28.27;2.0;17.0;83.0789473684;0.0;0.0;237.078947368;83.0789473684;146.0;8.0;72.9473684211;54.0;;16136.6666667;;27.3303813548;13.1593287232;23.1491259274;57.75;5.06578947368;39.5131578947;44.0;11.0;3.0;7.0;21.0;3.0;2.0;6.0;0.0;42.2094271559, 8.92258883331;
2B327;Tomino;94;2B;202.0;218.0;5.8;4.0;4.0;100.028846154;2.0;3.0;261.766623932;100.028846154;149.296410256;12.4413675214;69.9230769231;91.0;;19380.0;;47.6532915362;30.0797154176;48.5752176443;102.942307692;11.6538461538;73.8076923077;21.0;2.0;1.0;5.0;7.0;1.0;6.0;4.0;0.0;42.9440187067, 9.44630145154;
2A019;Arbori;94;2A;59.0;66.0;20.03;1.0;9.0;33.7142857143;0.0;2.0;86.6418219462;33.7142857143;49.6195652174;3.30797101449;29.5;;;;;8.38095451018;1.05357142857;13.4342009459;24.2321428571;2.10714285714;20.0178571429;9.0;4.0;0.0;3.0;1.0;0.0;1.0;1.0;0.0;42.1278317001, 8.79544743856;
2A115;Foce;94;2A;144.0;132.0;20.75;5.0;3.0;58.1917808219;1.0;0.0;110.687018917;58.1917808219;42.5904761905;9.90476190476;36.4931506849;51.0;;20684.4444444;;21.7389197982;13.848508839299999;28.1263860342;93.698630137;11.8356164384;67.0684931507;9.0;2.0;1.0;3.0;2.0;0.0;1.0;2.0;0.0;41.6219530665, 9.03561496971;
2B002;Aghione;94;2B;230.0;234.0;33.88;13.0;16.0;90.7894736842;1.0;1.0;129.360902256;90.7894736842;26.9102990033;11.6611295681;37.3245614035;73.0;;12980.4347826;;93.5151173983;66.2102334607;91.0413314713;152.324561404;17.149122807;99.8684210526;84.0;42.0;16.0;10.0;14.0;3.0;2.0;18.0;3.0;42.0985000918, 9.41152525552;
2B280;Silvareccio;94;2B;119.0;119.0;4.82;6.0;11.0;59.5;1.0;4.0;122.025423729;59.5;53.4491525424;9.07627118644;41.0344827586;57.0;;17245.5555556;;15.2885454647;7.07114734558;12.9606953413;70.7844827586;7.18103448276;51.2931034483;14.0;4.0;2.0;5.0;1.0;0.0;2.0;3.0;0.0;42.4530552903, 9.41788528717;
2A119;Frasseto;94;2A;122.0;124.0;16.61;2.0;4.0;74.0;0.0;0.0;175.15819209;74.0;96.0491924899;5.10899960053;66.0;;;;;12.9384524696;5.9266877637099995;4.93223262243;52.0;4.0;40.0;10.0;3.0;0.0;0.0;6.0;1.0;1.0;1.0;0.0;41.9199721408, 9.03919953409;
2B078;Castellare-di-Mercurio;94;2B;33.0;34.0;6.12;1.0;5.0;17.53125;0.0;0.0;49.1979166667;17.53125;31.6666666667;0.0;9.28125;;;;;8.98452102804;8.98452102804;5.91180633554;22.6875;2.0625;15.46875;7.0;1.0;1.0;2.0;1.0;0.0;2.0;4.0;0.0;42.310112696, 9.24655263263;
2B306;Santa-Lucia-di-Mercurio;94;2B;97.0;87.0;23.79;1.0;5.0;43.1111111111;0.0;0.0;91.7777777778;43.1111111111;46.6388888889;2.02777777778;29.3939393939;;;;;8.85858585859;0.979797979798;11.4339597092;65.6464646465;5.87878787879;44.0909090909;15.0;9.0;0.0;3.0;2.0;0.0;1.0;1.0;0.0;42.317846059, 9.22025065863;
2A117;Forciolo;94;2A;66.0;76.0;6.88;0.0;6.0;30.0;0.0;1.0;70.0;30.0;24.0;16.0;28.0;;;;;6.0;3.0;3.0;31.0;3.0;22.0;9.0;5.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;41.8481431897, 9.01587239961;
2B264;Rusio;94;2B;79.0;79.0;8.58;0.0;4.0;34.0;0.0;0.0;70.0;34.0;35.0;1.0;32.0;;;;;5.0;0.0;8.0;38.0;3.0;24.0;10.0;8.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;42.3537749145, 9.25853604756;
2A048;Calcatoggio;94;2A;532.0;459.0;22.65;33.0;28.0;260.489642185;3.0;10.0;1011.94729759;260.489642185;751.457655403;0.0;181.34086629;241.0;;21608.0;;118.004523117;68.8075369639;100.968661675;326.61393597;29.054613936;231.435028249;125.0;11.0;6.0;22.0;74.0;15.0;12.0;28.0;1.0;42.0284281165, 8.73772286465;
2B058;Canari;94;2B;314.0;325.0;16.67;6.0;25.0;168.141935484;0.0;5.0;480.926113671;168.141935484;303.070383834;9.71379435365;101.290322581;129.0;;14988.0;;66.8632106034;43.7357685009;75.101553036;187.387096774;19.2451612903;129.651612903;43.0;5.0;2.0;10.0;22.0;6.0;4.0;10.0;0.0;42.8430542103, 9.34556643621;
2B213;Pianello;94;2B;59.0;80.0;16.73;2.0;3.0;36.0555555556;0.0;0.0;89.0555555556;36.0555555556;50.435483871;2.56451612903;30.3194444444;;;;;6.55555555556;0.819444444444;10.9011678866;26.2222222222;0.819444444444;13.1111111111;13.0;8.0;0.0;0.0;4.0;0.0;1.0;1.0;0.0;42.2974342822, 9.3564849258;
2A028;Balogna;94;2A;130.0;133.0;27.75;2.0;6.0;76.8181818182;1.0;1.0;196.484848485;76.8181818182;97.5434173669;22.1232492997;53.1818181818;59.0;;13998.0;;10.8557930093;4.92424242424;15.521236008;71.8939393939;1.9696969697000002;44.3181818182;24.0;9.0;1.0;4.0;8.0;2.0;2.0;1.0;0.0;42.1870054914, 8.75386587299;
2A240;Poggiolo;94;2A;100.0;91.0;12.15;1.0;6.0;37.4726761422;0.0;4.0;128.119292684;37.4726761422;75.1954887218;15.4511278195;30.1863224479;;;;;17.3565282483;13.1928975659;7.93476125493;30.1459872792;1.04090767062;16.654522729900002;11.0;0.0;2.0;4.0;4.0;1.0;1.0;1.0;0.0;42.1628161972, 8.89848173922;
2B195;Ortiporio;94;2B;131.0;124.0;5.06;4.0;3.0;56.5681818182;1.0;2.0;112.100990217;56.5681818182;54.5753461852;0.957462213775;41.6818181818;;;;;14.8487469553;8.89202790405;10.8946024549;90.3106060606;7.9393939393899995;54.5833333333;13.0;4.0;0.0;3.0;3.0;0.0;3.0;3.0;0.0;42.4562488801, 9.34489704974;
2B364;Zuani;94;2B;30.0;49.0;5.16;0.0;1.0;22.2857142857;0.0;2.0;52.3463203463;22.2857142857;30.0606060606;0.0;19.7142857143;;;;;1.714285714289999;0.0;3.80178163776;15.4285714286;3.428571428569999;8.57142857143;5.0;2.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;42.264826425, 9.34126627348;
2B080;Castifao;94;2B;160.0;153.0;42.15;2.0;15.0;70.0;1.0;1.0;213.067278287;70.0;131.545081378;11.5221969091;55.0;60.0;;18801.3333333;;19.9230938302;11.9195765688;11.9693052141;99.0;2.0;52.0;34.0;17.0;5.0;3.0;8.0;0.0;1.0;2.0;0.0;42.5259960689, 9.11827028996;
2B053;Campi;94;2B;18.0;24.0;4.9;0.0;1.0;9.0;0.0;2.0;33.358974359;9.0;21.4358974359;2.92307692308;8.0;;;;;;;2.9244443042199992;8.0;2.0;5.0;5.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;42.2686230667, 9.42370461257;
2B214;Piano;94;2B;23.0;36.0;3.41;0.0;3.0;15.3333333333;0.0;1.0;42.9612403101;15.3333333333;22.511627907;5.11627906977;12.4583333333;;;;;5.84223174046;2.94791172486;4.11807336513;14.375;0.0;7.66666666667;3.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;42.4410042851, 9.39683527316;
2B239;Poggio-d'Oletta;94;2B;204.0;223.0;16.16;4.0;15.0;91.8;0.0;4.0;192.507006369;91.8;99.6687898089;1.03821656051;72.42;73.0;;20104.5;;34.2916537739;21.1179462115;20.4724946453;132.6;10.2;97.92;26.0;13.0;0.0;4.0;8.0;1.0;1.0;6.0;0.0;42.65726441, 9.35851486603;
2B180;Novella;94;2B;88.0;80.0;30.23;4.0;7.0;53.0120481928;0.0;3.0;111.642351223;53.0120481928;53.9020527859;4.72825024438;39.2289156627;;;;;13.533754739799999;4.27432808156;7.0567580282;40.2891566265;2.12048192771;26.5060240964;15.0;7.0;0.0;2.0;5.0;0.0;1.0;1.0;0.0;42.5972996408, 9.1035165681;
2A363;Zoza;94;2A;51.0;63.0;5.05;0.0;20.0;29.8301886792;1.0;0.0;78.8301886792;29.8301886792;47.0;2.0;26.9433962264;;;;;3.9088922634000003;2.94662811246;6.13391454774;23.0943396226;2.88679245283;14.4339622642;4.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;0.0;41.721546993, 9.07173348463;
2B153;Manso;94;2B;107.0;106.0;121.02;2.0;7.0;59.4444444444;0.0;2.0;138.625816993;59.4444444444;75.3654027876;3.8159697614;42.6018518519;51.0;;17692.6666667;;17.878977269499998;8.96676339058;15.0562770563;68.3611111111;6.93518518519;45.5740740741;21.0;6.0;1.0;2.0;10.0;0.0;2.0;2.0;0.0;42.3708830092, 8.81890618067;
2B007;Albertacce;94;2B;215.0;226.0;97.12;5.0;22.0;112.869870326;2.0;5.0;326.268746731;112.869870326;193.45505618;19.9438202247;82.4440791948;100.0;;14222.6666667;;55.9304412045;26.5138161772;76.8832625856;126.667058006;7.85181706617;82.5005870084;57.0;25.0;2.0;2.0;22.0;4.0;6.0;4.0;0.0;42.3117941076, 8.92423033485;
2B291;Stazzona;94;2B;41.0;38.0;1.3900000000000001;2.0;3.0;17.8717948718;0.0;0.0;46.1784615385;17.8717948718;26.0719298246;2.23473684211;17.8717948718;;;;;1.0;0.0;1.91599248255;23.1282051282;1.05128205128;15.7692307692;5.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;42.379383324, 9.37520653497;
2A066;Cargiaca;94;2A;55.0;58.0;7.87;0.0;3.0;33.2075471698;0.0;1.0;73.7603926983;33.2075471698;36.2387130254;4.31413250303;23.8679245283;;;;;8.09493901237;3.94399561615;4.91525423729;29.0566037736;4.15094339623;15.5660377358;8.0;3.0;1.0;1.0;1.0;0.0;2.0;2.0;0.0;41.7315838648, 9.04097819601;
2B107;Ersa;94;2B;152.0;151.0;20.45;4.0;9.0;82.3741935484;1.0;4.0;335.119226661;82.3741935484;247.82781457;4.91721854305;61.7806451613;76.0;;14821.0;;40.0359967381;26.3069644801;56.942983121;81.3935483871;5.88387096774;54.9161290323;33.0;5.0;3.0;7.0;15.0;2.0;3.0;6.0;0.0;42.9871049875, 9.38235735891;
2A041;Bonifacio;94;2A;2950.0;2852.0;138.36;216.0;143.0;1277.49322689;33.0;31.0;2921.03537477;1277.49322689;1632.97840617;10.5637417111;655.278878735;1155.0;59.1659426586;17752.5;20.15518;1360.083814;974.322698835;1178.51170181;1895.5201704;248.484957074;1408.73833894;876.0;60.0;33.0;94.0;643.0;175.0;46.0;200.0;22.0;41.4354987425, 9.18514890376;
2A232;Pila-Canale;94;2A;286.0;282.0;18.8;8.0;22.0;151.582778844;2.0;7.0;308.762855472;151.582778844;146.167459795;11.0126168338;106.999608596;121.0;;17057.5;;55.9257175532;38.9078811593;81.0129280088;159.185649072;20.8054794491;101.722896308;56.0;18.0;2.0;12.0;22.0;7.0;2.0;7.0;0.0;41.7923350727, 8.89878366545;
2B244;Popolasca;94;2B;50.0;47.0;10.24;1.0;4.0;24.0;0.0;0.0;56.0793650794;24.0;26.3509070295;5.7284580498899995;16.0;;;;;12.1461988304;5.0730994152;6.78264370417;26.0;2.0;22.0;14.0;7.0;0.0;1.0;4.0;1.0;2.0;2.0;0.0;42.437399462, 9.13509572418;
2B293;Sant'Andréa-di-Cotone;94;2B;240.0;222.0;8.91;7.0;11.0;104.262295082;3.0;3.0;220.787805286;104.262295082;111.587988585;4.93752161882;76.7213114754;78.0;;20292.4;;21.805174204300002;14.7411539939;17.5720524017;148.524590164;5.9016393442599995;104.262295082;17.0;1.0;2.0;2.0;10.0;2.0;2.0;5.0;0.0;42.3152789524, 9.47199287722;
2B227;Pietricaggio;94;2B;36.0;51.0;5.44;1.0;3.0;18.0;0.0;3.0;52.1379310345;18.0;28.4482758621;5.68965517241;14.2105263158;;;;;4.75614035088;0.0;7.6495472072799995;18.0;0.0;11.3684210526;8.0;4.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;42.3292404506, 9.37688638759;
2B318;Taglio-Isolaccio;94;2B;565.0;523.0;11.47;24.0;15.0;234.0;4.0;0.0;459.0;234.0;225.0;0.0;178.0;198.0;;18172.0;;86.1000960354;62.1720070131;63.2838836482;364.0;49.0;252.0;61.0;7.0;2.0;13.0;32.0;6.0;7.0;7.0;3.0;42.4345865472, 9.49734774126;
2B245;Porri;94;2B;57.0;57.0;4.5;1.0;4.0;24.8727272727;0.0;1.0;64.8727272727;24.8727272727;39.0;1.0;17.6181818182;;;;;6.14186574087;2.07272727273;2.99922998708;36.2727272727;4.14545454545;26.9454545455;4.0;1.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;42.4493786063, 9.44236110212;
2B003;Aiti;94;2B;33.0;31.0;12.17;2.0;0.0;20.3823529412;0.0;0.0;65.2362342197;20.3823529412;44.8538812785;0.0;20.3823529412;;;;;0.971014492754;0.0;6.93279864203;13.5882352941;0.0;5.82352941176;3.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;42.4043178377, 9.22873647306;
2B155;Matra;94;2B;43.0;50.0;6.49;0.0;7.0;26.875;0.0;1.0;66.875;26.875;40.0;0.0;25.8;;;;;5.375;2.15;11.9870077223;17.2;0.0;7.525;6.0;2.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;42.2832313551, 9.38756967026;
2B084;Cateri;94;2B;233.0;209.0;3.18;10.0;7.0;104.676916466;2.0;1.0;243.521476051;104.676916466;135.564766839;3.27979274611;54.5665053585;89.0;;14567.3947368;;42.5415779673;19.7747277257;37.749188062;167.610967392;21.8266021434;117.863651574;37.0;10.0;3.0;9.0;11.0;3.0;4.0;7.0;0.0;42.5692984321, 8.89579087074;
2A204;Pastricciola;94;2A;97.0;84.0;46.32;1.0;10.0;46.1904761905;0.0;2.0;195.19047619;46.1904761905;139.0;10.0;36.9523809524;;;;;6.58361417064;3.3474025974;14.2802850309;58.8928571429;5.77380952381;46.1904761905;7.0;2.0;0.0;0.0;4.0;0.0;1.0;1.0;0.0;42.1434520228, 9.01623489472;
2B242;Poggio-Mezzana;94;2B;626.0;648.0;8.9;32.0;26.0;315.0;7.0;3.0;1190.0;315.0;875.0;0.0;176.0;263.0;;16511.5;;119.589481493;77.4418543176;91.317490835;416.0;60.0;279.0;100.0;4.0;3.0;25.0;65.0;17.0;3.0;14.0;1.0;42.40140902, 9.51195735668;
2B075;Casevecchie;94;2B;64.0;65.0;9.06;1.0;0.0;31.4920634921;1.0;1.0;58.1587301587;31.4920634921;25.641025641;1.02564102564;26.4126984127;;;;;1.01587301587;0.0;3.0;31.4920634921;5.07936507937;18.2857142857;3.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;42.1355350741, 9.368065079139999;
2B248;Prato-di-Giovellina;94;2B;44.0;53.0;12.21;0.0;7.0;22.4888888889;0.0;1.0;76.4888888889;22.4888888889;49.0;5.0;18.5777777778;;;;;11.712611451;3.91088091664;9.12498246496;34.2222222222;0.977777777778;17.6;7.0;3.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;42.4191789343, 9.16926425696;
2B328;Tox;94;2B;91.0;111.0;14.79;1.0;4.0;51.4747474747;0.0;1.0;127.6999727;51.4747474747;68.7886178862;7.43660733905;43.202020202;52.0;;19707.7419355;;10.4987580725;5.67676767677;16.2624538918;37.6868686869;3.67676767677;26.6565656566;24.0;12.0;3.0;2.0;6.0;0.0;1.0;3.0;0.0;42.2442032331, 9.44292921906;
2B020;Aregno;94;2B;594.0;613.0;9.3;25.0;21.0;276.255536627;6.0;1.0;540.956835328;276.255536627;256.493506494;8.20779220779;185.182282794;225.0;;16292.0;;83.3919693973;47.7514558728;104.264105801;390.60306644;33.3935264055;246.909710392;86.0;18.0;1.0;18.0;42.0;3.0;7.0;18.0;0.0;42.591747308, 8.8768922389;
2B043;Brando;94;2B;1654.0;1537.0;22.22;69.0;82.0;766.99917032;11.0;17.0;1346.81491571;766.99917032;576.790619765;3.02512562814;536.999419116;719.0;;21426.5;;268.642593167;188.478383604;273.211155799;1037.00041183;60.999934015;734.000228398;195.0;7.0;10.0;30.0;125.0;23.0;23.0;32.0;4.0;42.7792996993, 9.45029993821;
2B297;San-Damiano;94;2B;52.0;47.0;5.72;2.0;5.0;19.8545454545;0.0;0.0;63.1795454545;19.8545454545;41.3556818182;1.969318181819999;17.9636363636;;;;;4.79760728452;1.0157891027;4.89583333333;32.1454545455;0.945454545455;20.8;6.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;42.4061531707, 9.41439045887;
2B219;Piedicroce;94;2B;127.0;123.0;3.27;4.0;10.0;59.0907052089;0.0;2.0;147.731125156;59.0907052089;71.0970034996;17.5434164479;29.5453526045;;;;;46.5352603836;38.7171020902;44.3409553255;84.9546905244;5.68179857778;65.63657536;30.0;2.0;5.0;4.0;15.0;1.0;4.0;7.0;2.0;42.3839264526, 9.36811133319;
2A212;Piana;94;2A;479.0;439.0;62.63;20.0;40.0;224.235164835;7.0;3.0;629.69834313;224.235164835;385.036821705;20.4263565891;145.279120879;185.0;;16840.0;;152.49651794;93.922288859;139.443540539;266.345054945;37.8989010989;201.074725275;106.0;16.0;7.0;11.0;67.0;9.0;5.0;25.0;0.0;42.2260344023, 8.62798195907;
2A200;Palneca;94;2A;166.0;154.0;43.81;3.0;11.0;83.509202454;0.0;2.0;238.513569266;83.509202454;151.965065502;3.03930131004;65.1779141104;52.0;;13740.0;;24.1714416166;14.1265000963;22.7138720359;85.5460122699;12.2208588957;57.0306748466;18.0;4.0;1.0;4.0;8.0;1.0;1.0;5.0;0.0;41.9917474274, 9.18910929636;
2B206;Penta-Acquatella;94;2B;36.0;42.0;3.1;2.0;2.0;21.1764705882;1.0;2.0;51.1764705882;21.1764705882;26.8965517241;3.10344827586;20.1176470588;;;;;9.37485113893;1.05882352941;9.99851423915;23.2941176471;1.05882352941;16.9411764706;7.0;5.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;42.4636442257, 9.37213628263;
2B168;Monticello;94;2B;1740.0;1665.0;10.64;68.0;56.0;754.586555622;18.0;14.0;1651.64397189;754.586555622;889.772727273;7.28468899522;489.601427722;729.0;;19808.8;;311.642379534;211.933634601;246.90406023;1079.60737656;87.9833432481;773.218322427;209.0;18.0;9.0;56.0;109.0;23.0;17.0;42.0;2.0;42.6216923341, 8.96127656939;
2B292;Sant'Andréa-di-Bozio;94;2B;78.0;85.0;24.03;0.0;8.0;41.7857142857;0.0;0.0;106.336438923;41.7857142857;63.6014492754;0.949275362319;35.2857142857;;;;;4.83960650128;3.91103507271;1.00073019772;35.2857142857;1.85714285714;14.8571428571;11.0;6.0;0.0;0.0;3.0;0.0;2.0;1.0;0.0;42.2767589636, 9.28470824076;
2A196;Orto;94;2A;58.0;55.0;16.21;0.0;10.0;32.0;1.0;2.0;109.0;32.0;58.0;19.0;31.0;;;;;8.0;3.0;9.9816143863;26.0;2.0;21.0;9.0;4.0;0.0;2.0;2.0;1.0;1.0;3.0;0.0;42.1989987238, 8.95741133196;
2B095;Corscia;94;2B;166.0;164.0;58.99;1.0;22.0;78.0595238095;1.0;5.0;212.11328725;78.0595238095;118.397849462;15.6559139785;69.1666666667;82.0;;17714.5;;24.7656572674;10.9013515005;22.0394340267;83.0;4.94047619048;46.4404761905;31.0;22.0;1.0;2.0;5.0;1.0;1.0;1.0;0.0;42.3691487665, 9.05557667176;
2B015;Ampriani;94;2B;13.0;9.0;2.29;0.0;0.0;7.8;0.0;0.0;19.8;7.8;12.0;0.0;5.2;;;;;0.866666666667;0.0;0.990516106215;7.8;0.0;3.46666666667;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;42.2536571506, 9.35731976414;
2A348;Vico;94;2A;855.0;932.0;52.13;32.0;92.0;373.202989913;5.0;20.0;1161.40467059;373.202989913;754.106442577;34.0952380952;224.327855771;405.0;;18653.0;;473.531973398;344.787373024;405.21367806;532.119269059;46.2739074685;376.202453346;268.0;28.0;12.0;47.0;156.0;31.0;25.0;47.0;9.0;42.1506390695, 8.73051107045;
2B263;Rospigliani;94;2B;84.0;82.0;9.82;1.0;14.0;46.2;0.0;2.0;85.7892255892;46.2;38.64662498;0.942600609267;30.45;;;;;5.2;4.15;2.975398251039999;45.15;6.3;28.35;6.0;2.0;0.0;2.0;0.0;0.0;2.0;3.0;0.0;42.1937798194, 9.237935796;
2B049;Calenzana;94;2B;2308.0;1831.0;182.77;132.0;115.0;981.566306286;31.0;15.0;1667.90031031;981.566306286;549.283031522;137.050972502;572.75777959;863.0;;17607.5;;415.503201413;264.264321799;356.942068711;1456.31556938;157.561619664;991.082949159;299.0;58.0;21.0;42.0;155.0;32.0;23.0;49.0;5.0;42.4784267166, 8.80369225001;
2A064;Cardo-Torgia;94;2A;34.0;42.0;3.88;2.0;2.0;14.4242424242;1.0;1.0;19.3322884013;14.4242424242;4.90804597701;0.0;9.27272727273;;;;;3.04766734776;2.0173643174600002;3.03844746384;20.6060606061;0.0;11.3333333333;5.0;1.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;41.8528771718, 8.97204670982;
2A362;Zonza;94;2A;2482.0;2179.0;134.46;130.0;65.0;1039.27066197;32.0;21.0;3685.48547678;1039.27066197;2638.48864017;7.7261746418;659.14453584;1047.0;60.8237547893;18221.3333333;21.49921;535.712910649;343.896749792;453.652398859;1536.0595378;173.049745398;1092.74108892;548.0;23.0;18.0;113.0;351.0;48.0;43.0;99.0;11.0;41.7213730193, 9.26624005547;
2B050;Calvi;94;2B;5514.0;5441.0;31.2;417.0;217.0;2133.15711567;85.0;48.0;4702.26195438;2133.15711567;2267.39501779;301.709820916;824.820751392;2376.0;59.3657505285;17051.4285714;21.84503;3618.84202792;3072.8943943;3353.81609442;3758.0281551;473.341932755;2915.97056717;1319.0;18.0;48.0;132.0;1029.0;255.0;92.0;295.0;42.0;42.5454874755, 8.7595487404;
2B135;Isolaccio-di-Fiumorbo;94;2B;361.0;391.0;40.89;4.0;37.0;187.681697613;2.0;6.0;353.963027536;187.681697613;163.381074169;2.90025575448;162.785145889;127.0;;14788.8333333;;20.1087533156;9.57559681698;33.8825509026;194.384615385;15.3209549072;103.416445623;27.0;7.0;3.0;5.0;9.0;0.0;3.0;5.0;0.0;42.0157488768, 9.26439576415;
2B190;Olmi-Cappella;94;2B;184.0;183.0;51.1;8.0;13.0;104.131868132;2.0;4.0;265.564928241;104.131868132;154.235407748;7.19765236156;60.6593406593;74.0;;16471.3333333;;59.1570232225;50.0818126978;64.1141289349;101.098901099;7.07692307692;67.7362637363;37.0;11.0;4.0;5.0;13.0;3.0;4.0;10.0;0.0;42.5203092978, 9.02008756946;
2B302;San-Giovanni-di-Moriani;94;2B;91.0;104.0;10.19;4.0;5.0;40.0;1.0;0.0;112.0;40.0;63.0;9.0;31.0;;;;;25.8445780057;15.7955007174;22.1085218429;64.0;10.0;47.0;16.0;5.0;0.0;3.0;7.0;1.0;1.0;3.0;0.0;42.3730963312, 9.46541508806;
2B289;Soveria;94;2B;120.0;106.0;11.73;5.0;1.0;49.9115044248;1.0;1.0;89.2738232654;49.9115044248;39.3623188406;0.0;37.1681415929;40.0;;21393.6666667;;20.2877198578;17.1928115598;16.881079264;82.8318584071;5.30973451327;54.1592920354;12.0;2.0;1.0;4.0;4.0;1.0;1.0;3.0;1.0;42.3496030616, 9.14569806657;
2B102;Crocicchia;94;2B;45.0;42.0;4.32;0.0;2.0;20.1063829787;0.0;3.0;73.4228386749;20.1063829787;52.3291139241;0.987341772152;17.2340425532;;;;;5.73765629714;2.86531587161;3.14023122728;24.8936170213;1.91489361702;16.2765957447;9.0;3.0;2.0;2.0;1.0;0.0;1.0;1.0;0.0;42.4737480696, 9.3523598624;
2B176;Nocario;94;2B;60.0;54.0;3.08;1.0;2.0;31.5254237288;0.0;0.0;97.7809792844;31.5254237288;65.2666666667;0.988888888889;23.3898305085;;;;;8.28520031652;7.26825116398;4.93017082757;37.6271186441;6.10169491525;24.406779661;6.0;0.0;1.0;1.0;3.0;0.0;1.0;3.0;0.0;42.3951851178, 9.34913150736;
2B238;Poggio-di-Venaco;94;2B;192.0;183.0;13.28;2.0;7.0;82.7942245359;3.0;0.0;170.607557869;82.7942245359;74.9866666667;12.8266666667;47.7146206427;77.0;;18290.6666667;;29.7267271482;15.0348514246;33.3574207743;123.78832775;11.6852132186;87.6870276142;26.0;5.0;5.0;3.0;11.0;2.0;2.0;8.0;1.0;42.2684750583, 9.20706783524;
2B315;Santo-Pietro-di-Venaco;94;2B;262.0;212.0;7.96;6.0;11.0;124.0;4.0;1.0;191.0;124.0;53.0;14.0;65.0;100.0;;16727.826087;;18.9996739922;9.99967399216;27.1568038654;175.0;8.0;119.0;30.0;1.0;2.0;7.0;16.0;5.0;4.0;5.0;1.0;42.2451439725, 9.16595729369;
2B106;Érone;94;2B;9.0;6.0;3.89;0.0;2.0;4.5;0.0;0.0;20.2272727273;4.5;12.5818181818;3.14545454545;4.5;;;;;;;4.01066519034;4.5;0.0;2.7;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;42.3756203554, 9.26708993339;
2A092;Conca;94;2A;1097.0;1015.0;77.96;35.0;66.0;527.0;7.0;9.0;1430.0;527.0;886.0;17.0;368.0;371.0;;16916.6666667;;207.7480898;136.828225794;126.129322727;670.0;71.0;440.0;136.0;6.0;4.0;30.0;90.0;12.0;6.0;23.0;3.0;41.7530813124, 9.33031186511;
2A160;Moca-Croce;94;2A;232.0;227.0;27.75;9.0;20.0;121.0;4.0;3.0;238.0;121.0;110.0;7.0;87.0;101.0;;17794.0;;31.7345721305;18.7711574963;25.9829142256;110.0;12.0;76.0;30.0;5.0;1.0;9.0;13.0;2.0;2.0;8.0;0.0;41.7880108212, 9.00990338011;
2B161;Moïta;94;2B;81.0;79.0;5.71;0.0;6.0;47.164556962;0.0;0.0;120.069318867;47.164556962;71.9579468151;0.946815089672;35.8860759494;;;;;11.3023012932;3.09976964764;11.2022497045;45.1139240506;5.12658227848;28.7088607595;10.0;5.0;1.0;0.0;2.0;0.0;2.0;1.0;0.0;42.2817067777, 9.41036898711;
